IMAGENAME	CH	ACTUAL_SPOTS	THI_HB	THI_BF	THI_HB_SPOTS	THI_BF_SPOTS	THF_HB_SPOTS	THF_BF_SPOTS
simvarmass_TMRL_0442bcde	2	1626	139	415	1459	1559	1459	1591
simvarmass_TMRL_051f2b11	2	1476	85	280	1359	1403	1345	1373
simvarmass_TMRL_0618c3c0	2	7	108	304	1080	8073	70	1486
simvarmass_TMRL_065cc51d	2	2180	101	561	1935	2088	1925	3620
simvarmass_TMRL_070849ff	2	859	76	168	781	820	780	808
simvarmass_TMRL_072b5701	2	1335	85	503	1218	1285	1202	1791
simvarmass_TMRL_091ea053	2	1523	133	142	1388	17552	1388	10112
simvarmass_TMRL_0c7f7779	2	877	96	311	792	841	774	818
simvarmass_TMRL_0d35ae2d	2	917	149	61	819	18529	828	942
simvarmass_TMRL_0d8365fd	2	1125	146	1007	1024	1158	1034	10425
simvarmass_TMRL_0efde4f6	2	2482	899	209	410	2288	2178	2253
simvarmass_TMRL_0f8520f7	2	621	148	547	533	603	537	1453
simvarmass_TMRL_11be5298	2	1093	158	517	997	1078	1021	1780
simvarmass_TMRL_12d1c501	2	1585	140	62	1418	15698	1418	2633
simvarmass_TMRL_132b0e1d	2	2193	82	254	1932	2039	1926	1988
simvarmass_TMRL_13951781	2	169	136	528	153	157	152	704
simvarmass_TMRL_144094e6	2	2370	143	73	2057	15187	2067	3795
simvarmass_TMRL_154fc139	2	1311	151	827	1202	1335	1212	12344
simvarmass_TMRL_169f172d	2	1326	185	709	1192	1319	1276	7105
simvarmass_TMRL_17945961	2	225	80	388	204	225	204	221
simvarmass_TMRL_17fcfcf4	2	2016	172	558	1756	1894	1805	3825
simvarmass_TMRL_19c9fe8a	2	2323	176	97	1887	14864	1981	6585
simvarmass_TMRL_1f6e6208	2	1883	96	259	1686	1778	1680	1743
simvarmass_TMRL_1fe9cbf5	2	1642	90	246	1475	1535	1471	1516
simvarmass_TMRL_20610138	2	413	104	404	368	397	366	397
simvarmass_TMRL_217a84bc	2	2345	103	486	2061	2212	2043	2847
simvarmass_TMRL_217b8a01	2	1941	120	547	1742	1915	1738	3678
simvarmass_TMRL_21a3efda	2	2185	145	327	1965	2081	1967	2001
simvarmass_TMRL_2338f30b	2	507	72	414	447	485	445	498
simvarmass_TMRL_235d3ca8	2	578	109	572	522	568	505	1363
simvarmass_TMRL_23e19e42	2	978	147	401	867	956	871	953
simvarmass_TMRL_23e7c892	2	2476	159	121	2136	16672	2155	8021
simvarmass_TMRL_24124f4a	2	669	120	139	2213	21025	1104	2656
simvarmass_TMRL_248aabc0	2	2198	110	433	1933	2025	1919	2114
simvarmass_TMRL_25a8a99e	2	503	180	175	439	18988	602	13336
simvarmass_TMRL_266202bc	2	1782	147	566	1532	1706	1546	3320
simvarmass_TMRL_273c5723	2	1795	116	302	1600	1681	1599	1648
simvarmass_TMRL_27986836	2	154	100	861	145	160	140	6622
simvarmass_TMRL_28dc6f47	2	1431	138	520	1294	1393	1294	2365
simvarmass_TMRL_2c8705eb	2	127	154	531	106	133	108	681
simvarmass_TMRL_2c8cbd79	2	628	83	335	587	630	582	608
simvarmass_TMRL_2db7b5fd	2	1385	164	194	1243	17295	1392	13211
simvarmass_TMRL_2e3f28f3	2	351	96	799	928	387	307	7199
simvarmass_TMRL_2ebdbaf0	2	780	159	555	703	772	725	1870
simvarmass_TMRL_2ef76c51	2	365	67	400	338	373	335	373
simvarmass_TMRL_32388b80	2	1696	126	89	1529	19736	1527	2284
simvarmass_TMRL_3374d92b	2	1373	129	336	1245	1329	1244	1280
simvarmass_TMRL_35c8d048	2	718	107	555	646	711	640	1791
simvarmass_TMRL_3bb5d83a	2	127	102	452	99	115	99	166
simvarmass_TMRL_3c29f86e	2	2334	83	314	2011	2116	1972	2073
simvarmass_TMRL_3d5487ce	2	2457	106	548	2104	2293	2061	3504
simvarmass_TMRL_3dab40da	2	1301	148	458	1200	1376	1200	1671
simvarmass_TMRL_40da6748	2	452	84	236	415	440	413	426
simvarmass_TMRL_4179b643	2	1165	150	521	1053	1133	1056	1935
simvarmass_TMRL_418898bd	2	1020	111	617	926	1003	915	2931
simvarmass_TMRL_4415117e	2	1523	73	258	1363	1439	1356	1407
simvarmass_TMRL_44d95a97	2	828	125	402	755	806	755	804
simvarmass_TMRL_4552f372	2	634	93	346	577	611	572	591
simvarmass_TMRL_456b410c	2	1348	179	201	1240	21270	1333	11565
simvarmass_TMRL_45b2c534	2	62	67	404	54	58	54	58
simvarmass_TMRL_46c8a8cf	2	423	162	138	384	19684	401	6677
simvarmass_TMRL_487e5f1d	2	2362	103	326	1985	2118	1935	2060
simvarmass_TMRL_492fc7d6	2	1340	144	763	1213	1337	1214	9501
simvarmass_TMRL_49455a7c	2	2360	96	414	2065	2168	2043	2192
simvarmass_TMRL_4a02cbce	2	386	68	320	351	380	349	367
simvarmass_TMRL_4aff60bf	2	1503	72	326	1379	1448	1371	1422
simvarmass_TMRL_4b89c98e	2	404	141	427	375	417	375	445
simvarmass_TMRL_4ca7c1f8	2	417	100	447	380	416	380	473
simvarmass_TMRL_4d299943	2	2425	131	321	2118	2228	2118	2197
simvarmass_TMRL_4db68b26	2	1346	127	306	1193	1289	1184	1237
simvarmass_TMRL_4e01ce8f	2	1332	142	849	1183	1311	1190	8023
simvarmass_TMRL_4ee7b39c	2	1543	92	324	1381	1476	1373	1430
simvarmass_TMRL_4fa41ff4	2	363	95	496	335	360	334	564
simvarmass_TMRL_5050c5eb	2	402	108	418	374	416	370	438
simvarmass_TMRL_51aca410	2	848	127	451	749	824	743	955
simvarmass_TMRL_531f2826	2	27	75	481	1258	33	6	329
simvarmass_TMRL_54048b1d	2	2167	147	409	1881	2022	1887	2038
simvarmass_TMRL_54a4ef33	2	545	72	436	498	534	485	562
simvarmass_TMRL_54df1a75	2	1612	137	125	1439	16811	1439	8404
simvarmass_TMRL_55394eb0	2	2437	137	95	2126	18312	2126	3082
simvarmass_TMRL_577ce5ca	2	2329	169	677	1907	2191	1977	6054
simvarmass_TMRL_58abd6b5	2	630	160	126	551	20086	640	4862
simvarmass_TMRL_59ada9e0	2	1232	136	752	1096	1213	1095	6035
simvarmass_TMRL_5bb3b255	2	1844	172	633	1675	1864	1797	6183
simvarmass_TMRL_5d617c83	2	2367	77	303	2082	2174	2057	2117
simvarmass_TMRL_5fefc118	2	1828	169	584	1571	1743	1635	3671
simvarmass_TMRL_600a446c	2	736	130	431	666	714	666	766
simvarmass_TMRL_6040aa37	2	1019	114	358	922	1002	917	961
simvarmass_TMRL_604ef355	2	1816	190	626	1603	1741	1885	5622
simvarmass_TMRL_617d8a56	2	2286	144	108	1974	15410	1993	8045
simvarmass_TMRL_633d3698	2	1153	180	561	1024	1104	1040	2279
simvarmass_TMRL_64f6c0b0	2	2035	104	424	1783	1914	1754	1977
simvarmass_TMRL_6676fd5c	2	2476	72	305	2193	2273	2148	2242
simvarmass_TMRL_66b77acd	2	417	108	477	384	402	374	512
simvarmass_TMRL_6984e828	2	2425	154	434	2117	2296	2138	2435
simvarmass_TMRL_6c313417	2	50	134	780	43	56	42	4609
simvarmass_TMRL_6c6e2c30	2	2350	83	520	2105	2226	2092	2937
simvarmass_TMRL_6dc88c32	2	120	72	309	93	103	93	99
