IMAGENAME	CH	ACTUAL_SPOTS	THI_HB	THI_BF	THI_HB_SPOTS	THI_BF_SPOTS	THF_HB_SPOTS	THF_BF_SPOTS
simvarmass_TMRL_87e73254	2	404	163	215	375	17574	520	14491
simvarmass_TMRL_898211e5	2	1355	102	317	1238	1292	1235	1266
simvarmass_TMRL_8c95d1ab	2	1346	76	304	1194	1262	1167	1233
simvarmass_TMRL_8d74bdc9	2	1382	151	454	1241	1373	1246	1606
simvarmass_TMRL_8e20de30	2	2319	82	60	2051	18538	2043	2107
simvarmass_TMRL_8ea5cf01	2	2540	161	447	2131	2367	2168	2604
simvarmass_TMRL_8f54885b	2	2421	137	353	2124	2261	2124	2188
simvarmass_TMRL_91852647	2	1923	114	484	1686	1785	1662	2124
simvarmass_TMRL_92519093	2	1509	80	317	1364	1463	1359	1414
simvarmass_TMRL_92f018f0	2	993	101	279	892	958	879	933
simvarmass_TMRL_94722e72	2	643	87	358	596	635	596	620
simvarmass_TMRL_97fa77e2	2	21	96	257	306	17544	20	14147
simvarmass_TMRL_9a4dbf7c	2	1548	140	88	1377	16408	1382	4786
simvarmass_TMRL_9ab65de4	2	1179	142	653	1047	1180	1049	4153
simvarmass_TMRL_9b2e6352	2	1947	150	543	1770	1877	1779	3354
simvarmass_TMRL_9b8222e8	2	1198	174	749	1065	1256	1183	7216
simvarmass_TMRL_9be462c3	2	702	132	758	644	750	644	6976
simvarmass_TMRL_9d78b00c	2	467	77	453	444	474	442	538
simvarmass_TMRL_9db466e8	2	1207	112	393	1088	1180	1077	1170
simvarmass_TMRL_9e2ebb0b	2	1854	133	448	1676	1818	1674	2031
simvarmass_TMRL_a25afbb5	2	2341	131	382	2048	2171	2046	2131
simvarmass_TMRL_a2e1fcdd	2	776	98	605	723	774	720	2786
simvarmass_TMRL_a566aba4	2	444	105	514	386	468	385	1182
simvarmass_TMRL_a62aa723	2	1150	143	74	1029	18703	1030	1335
simvarmass_TMRL_a66b9c69	2	536	168	156	496	22308	505	6488
simvarmass_TMRL_a72b8843	2	1286	83	365	1165	1225	1146	1199
simvarmass_TMRL_a72f8a37	2	618	147	232	594	20475	600	16203
simvarmass_TMRL_a8db5834	2	256	142	706	215	252	217	4260
simvarmass_TMRL_aa416f85	2	2037	148	898	1772	1956	1800	8945
simvarmass_TMRL_aa62ca2c	2	1866	110	351	1647	1750	1624	1707
simvarmass_TMRL_ac8b146d	2	2019	75	477	1780	1874	1705	2137
simvarmass_TMRL_ad3cc05c	2	1445	175	596	1297	1393	1328	3661
simvarmass_TMRL_ae6ab853	2	1826	190	159	1628	18025	1673	10764
simvarmass_TMRL_af462d76	2	420	137	481	349	399	349	663
simvarmass_TMRL_afc93458	2	1511	171	281	1364	21391	1457	18675
simvarmass_TMRL_afda365f	2	2256	258	240	1963	2103	2011	2062
simvarmass_TMRL_b07da363	2	1552	157	714	1416	1547	1422	6378
simvarmass_TMRL_b1062cd2	2	1120	86	310	1031	1076	1025	1052
simvarmass_TMRL_b1617b06	2	1273	138	460	1142	1227	1142	1370
simvarmass_TMRL_b2a1181c	2	2027	148	529	1808	1972	1820	3418
simvarmass_TMRL_b53fd232	2	377	204	499	338	393	430	843
simvarmass_TMRL_b58de1b6	2	1696	114	377	1521	1620	1500	1598
simvarmass_TMRL_b689c4d9	2	1831	88	328	1651	1719	1640	1702
simvarmass_TMRL_b8c4544d	2	293	162	483	264	292	265	546
simvarmass_TMRL_ba74c496	2	448	147	560	396	437	397	1476
simvarmass_TMRL_bb5e8dac	2	891	160	181	856	18009	1019	12801
simvarmass_TMRL_bbb2fa80	2	405	114	434	370	409	369	455
simvarmass_TMRL_bc410f7e	2	1615	174	202	1446	19350	1501	14163
simvarmass_TMRL_bdd06456	2	2057	138	578	1758	1932	1760	3628
simvarmass_TMRL_be862ff3	2	363	54	535	13064	369	337	957
simvarmass_TMRL_beac175f	2	1991	124	82	1718	15454	1694	5447
simvarmass_TMRL_beb8d9ce	2	280	81	403	256	288	252	288
simvarmass_TMRL_bebc9568	2	613	190	814	570	640	680	8270
simvarmass_TMRL_bf32f465	2	622	171	733	566	645	583	6767
simvarmass_TMRL_bfe94955	2	1318	127	509	1209	1300	1203	1924
simvarmass_TMRL_c0010e10	2	1701	127	105	1533	17091	1532	8265
simvarmass_TMRL_c0213033	2	2467	86	470	2145	2274	2126	2528
simvarmass_TMRL_c02b436f	2	1345	91	287	1210	1273	1199	1249
simvarmass_TMRL_c0f004c4	2	1704	146	414	1506	1646	1510	1679
simvarmass_TMRL_c1621bcc	2	554	114	513	506	559	504	1139
simvarmass_TMRL_c1dbffdc	2	1138	87	233	1027	1091	1024	1064
simvarmass_TMRL_c25f7281	2	1591	108	100	1440	19094	1437	3426
simvarmass_TMRL_c286e651	2	276	73	313	262	283	259	265
simvarmass_TMRL_c37876a5	2	762	133	411	657	734	654	746
simvarmass_TMRL_c403b364	2	301	88	500	261	295	256	530
simvarmass_TMRL_c4241d45	2	1396	95	209	1279	1338	1274	1317
simvarmass_TMRL_c465b212	2	2531	152	83	2167	15386	2243	4852
simvarmass_TMRL_c724cf94	2	2075	157	83	1789	15636	1832	4057
simvarmass_TMRL_c773909b	2	887	102	530	827	925	824	1926
simvarmass_TMRL_c8168f67	2	1552	138	482	1364	1516	1365	1885
simvarmass_TMRL_c845118f	2	476	105	348	425	447	424	438
simvarmass_TMRL_c97de8d3	2	376	169	656	352	368	669	4753
simvarmass_TMRL_cc84932a	2	2255	138	462	1976	2105	1976	2350
simvarmass_TMRL_ce31054b	2	289	99	663	254	287	254	3487
simvarmass_TMRL_ce40b073	2	1139	160	730	1013	1121	1024	6212
simvarmass_TMRL_cff585d1	2	1053	124	456	950	1035	947	1199
simvarmass_TMRL_d12eec9e	2	549	65	234	504	523	497	519
simvarmass_TMRL_d2c8fb9a	2	475	73	396	453	483	450	480
simvarmass_TMRL_d2d73305	2	1255	183	589	1038	1236	1086	2963
simvarmass_TMRL_d311a735	2	135	124	145	426	20478	214	7519
simvarmass_TMRL_d3939da3	2	2504	120	617	2238	2342	2231	5047
simvarmass_TMRL_d497b2ec	2	1870	173	156	1614	18334	1664	10508
simvarmass_TMRL_d4d47896	2	1003	149	223	937	22250	937	15368
simvarmass_TMRL_d5a7c403	2	1168	107	347	1075	1141	1075	1120
simvarmass_TMRL_d7bbd0e2	2	2032	106	366	1811	1922	1804	1886
simvarmass_TMRL_d8b2080a	2	409	135	112	370	18953	370	7286
simvarmass_TMRL_d8f4a6ae	2	1958	131	55	1723	18630	1721	1779
simvarmass_TMRL_d9f4557f	2	1315	128	376	1138	1268	1130	1240
simvarmass_TMRL_db34801c	2	2242	542	455	1080	2076	1954	2210
simvarmass_TMRL_db5f4d7e	2	1287	175	128	1148	19561	1201	5424
simvarmass_TMRL_dc02391f	2	2259	164	701	1921	2229	1959	6503
simvarmass_TMRL_dcd948ad	2	1031	97	432	940	1002	922	1059
simvarmass_TMRL_dd7166d2	2	2456	1131	40	349	18586	2192	2248
simvarmass_TMRL_de87cb98	2	1859	144	451	1594	1774	1602	2013
simvarmass_TMRL_e2d70a40	2	623	103	287	571	616	570	597
simvarmass_TMRL_e587ecca	2	1166	160	616	1059	1188	1098	4719
simvarmass_TMRL_e6bb8457	2	1159	72	428	1060	1112	1040	1137
simvarmass_TMRL_e79f6619	2	1716	158	148	1502	17078	1519	10177
simvarmass_TMRL_ea7ac772	2	41	50	279	33	10	8	8
simvarmass_TMRL_eaeb7500	2	2381	123	316	1996	2135	1976	2047
simvarmass_TMRL_ebd071e5	2	2555	145	96	2227	15867	2233	6575
simvarmass_TMRL_ec03aa6c	2	454	194	1123	412	502	547	13071
simvarmass_TMRL_ed5a8d2f	2	1062	143	697	957	1076	967	5398
simvarmass_TMRL_eddd606c	2	93	77	272	82	103	82	83
simvarmass_TMRL_f023a4b4	2	101	105	620	92	118	86	1656
simvarmass_TMRL_f0f3a4a2	2	1362	69	362	1233	1284	1207	1278
simvarmass_TMRL_f24946d7	2	1217	154	614	1098	1208	1108	3483
simvarmass_TMRL_f4a57b9f	2	460	176	494	407	455	411	896
simvarmass_TMRL_f5c16209	2	1638	120	439	1464	1555	1460	1645
simvarmass_TMRL_f7e45d35	2	1213	86	52	1111	18354	1105	1372
simvarmass_TMRL_f8a97aae	2	1588	91	310	1432	1508	1427	1492
simvarmass_TMRL_f9a98ebb	2	140	136	1203	137	181	136	21656
simvarmass_TMRL_f9aea244	2	2358	157	120	2049	15822	2067	9179
simvarmass_TMRL_fa2aaf75	2	2270	156	149	1986	16538	2039	9727
simvarmass_TMRL_faf6135e	2	2066	154	695	1815	1969	1824	6708
simvarmass_TMRL_fbfb73de	2	1239	146	519	1096	1193	1100	2041
simvarmass_TMRL_fc1513a8	2	1861	137	689	1649	1795	1649	5159
simvarmass_TMRL_fc5b60a0	2	227	149	728	220	260	284	4880
simvarmass_TMRL_fc9ef2d1	2	1668	146	388	1487	1614	1487	1580
simvarmass_TMRL_fdb9a44a	2	1252	163	567	1114	1205	1138	2792
simvarmass_TMRL_fe259400	2	1383	79	447	1248	1300	1219	1371
simvarmass_TMRL_feb3ab2e	2	1258	154	203	1150	20867	1160	11989
simvarmass_TMRL_ff787d2e	2	2275	130	536	2023	2217	2020	3754
simvarmass_TMRL_ffeace8a	2	1248	125	449	1103	1195	1093	1295
