TOOL	GROUP	METRIC	PERC_25	PERC_50	PERC_75	MEAN	STDEV
RS-FISH	H3K4me2	MAX_RECALL	0.9766717500000001	0.9774395	0.97820725	0.9774395	0.00217152492502392
DeepBlink	H3K4me2	MAX_RECALL	0.41609775000000004	0.4689145	0.52173125	0.4689145	0.1493883283409383
NeuertLab	H3K4me2	PR_AUC	0.732341	0.778545	0.824749	0.778545	0.13068464687177295
Big-FISH	H3K4me2	PR_AUC	0.66897725	0.7053895	0.7418017499999999	0.7053895	0.1029893955730394
RS-FISH	H3K4me2	PR_AUC	0.704561	0.744957	0.785353	0.744957	0.11425714213124706
DeepBlink	H3K4me2	PR_AUC	0.30974925	0.3769775	0.44420575000000007	0.3769775	0.1901502058492181
NeuertLab	H3K4me2	F_SCORE	0.43143925000000005	0.4894425	0.54744575	0.4894425	0.16405796562343447
Big-FISH	H3K4me2	F_SCORE	0.31911625	0.3467775	0.37443875000000004	0.3467775	0.07823782980438554
RS-FISH	H3K4me2	F_SCORE	NA	NA	NA	NA	NA
DeepBlink	H3K4me2	F_SCORE	NA	NA	NA	NA	NA
NeuertLab	TsixE_AF594	MAX_RECALL	1	1	1	1	NA
Big-FISH	TsixE_AF594	MAX_RECALL	0.902174	0.902174	0.902174	0.902174	NA
RS-FISH	TsixE_AF594	MAX_RECALL	0.932624	0.932624	0.932624	0.932624	NA
DeepBlink	TsixE_AF594	MAX_RECALL	0.946809	0.946809	0.946809	0.946809	NA
NeuertLab	TsixE_AF594	PR_AUC	0.901694	0.901694	0.901694	0.901694	NA
Big-FISH	TsixE_AF594	PR_AUC	0.843836	0.843836	0.843836	0.843836	NA
RS-FISH	TsixE_AF594	PR_AUC	0.585907	0.585907	0.585907	0.585907	NA
DeepBlink	TsixE_AF594	PR_AUC	0.756838	0.756838	0.756838	0.756838	NA
NeuertLab	TsixE_AF594	F_SCORE	0.827044	0.827044	0.827044	0.827044	NA
Big-FISH	TsixE_AF594	F_SCORE	0.810345	0.810345	0.810345	0.810345	NA
RS-FISH	TsixE_AF594	F_SCORE	NA	NA	NA	NA	NA
DeepBlink	TsixE_AF594	F_SCORE	NA	NA	NA	NA	NA
NeuertLab	Preibisch_celegans	MAX_RECALL	1	1	1	1	NA
Big-FISH	Preibisch_celegans	MAX_RECALL	0.923436	0.923436	0.923436	0.923436	NA
RS-FISH	Preibisch_celegans	MAX_RECALL	0.998133	0.998133	0.998133	0.998133	NA
DeepBlink	Preibisch_celegans	MAX_RECALL	0.364146	0.364146	0.364146	0.364146	NA
NeuertLab	Preibisch_celegans	PR_AUC	0.96343	0.96343	0.96343	0.96343	NA
Big-FISH	Preibisch_celegans	PR_AUC	0.901937	0.901937	0.901937	0.901937	NA
RS-FISH	Preibisch_celegans	PR_AUC	0.91035	0.91035	0.91035	0.91035	NA
DeepBlink	Preibisch_celegans	PR_AUC	0.294858	0.294858	0.294858	0.294858	NA
NeuertLab	Preibisch_celegans	F_SCORE	0.295376	0.295376	0.295376	0.295376	NA
Big-FISH	Preibisch_celegans	F_SCORE	0.801948	0.801948	0.801948	0.801948	NA
RS-FISH	Preibisch_celegans	F_SCORE	NA	NA	NA	NA	NA
DeepBlink	Preibisch_celegans	F_SCORE	NA	NA	NA	NA	NA
