GROUP	TARGET	SALT_CONC	BIO_REPL	TIMEPOINT	CELL_COUNT	TOOL	TH_TYPE	STACK_TRIMMED	LR_SLOPE	LR_ICEPT	PEARSON_EST	PEARSON_P	PEARSON_CI95_LO	PEARSON_CI95_HI	SPEARMAN_EST	SPEARMAN_P
28	H3K4me2	H3K4me2	0	0	0	295	NeuertLab	Variable	TRUE	0.171893770676138	32.9674837630894	0.716456385636357	9.86446099036207e-48	0.655924837441704	0.767831941407719	0.756929167586122	4.51180394716204e-56
29	H3K4me2	H3K4me2	0	0	0	295	Big-FISH	Fixed	FALSE	0.0138121743452352	-0.7315623100035	0.538354193522786	1.44058388695204e-23	0.451941169194462	0.614757451411798	0.552855722457496	5.17050464793153e-25
30	H3K4me2	H3K4me2	0	0	0	295	Big-FISH	Fixed	TRUE	0.0509293845492964	-1.69560643890497	0.737582372859201	6.8167343141185e-52	0.680721939676074	0.785608200895333	0.821266722246111	2.21698749478113e-73
31	H3K4me2	H3K4me2	0	0	0	295	Big-FISH	Variable	FALSE	0.117969708031669	-26.9159455173356	0.73079315307292	1.6352988734088e-50	0.672738705329804	0.779904109570343	0.735206641032785	2.09567122235095e-51
32	H3K4me2	H3K4me2	0	0	0	295	Big-FISH	Variable	TRUE	0.285726490569574	20.5832536752912	0.920720566529795	9.08376682777383e-122	0.901288018935173	0.936455457400445	0.910824790909179	1.31226635927324e-114
33	CTT1	CTT1	0.2	1	0	1619	NeuertLab	Fixed	FALSE	0.608984412518319	0.147018053718098	0.943388823777456	0	0.937770865719577	0.948513076442058	0.963555980044355	0
34	CTT1	CTT1	0.2	1	0	1619	NeuertLab	Fixed	TRUE	0.754916532313589	0.120334583496876	0.950275010720845	0	0.945321194296166	0.954790449299759	0.904427315926115	0
35	CTT1	CTT1	0.2	1	0	1619	NeuertLab	Variable	FALSE	0.70857827036445	0.150773386520049	0.956358312042199	0	0.951995622876552	0.960332572524601	0.933644389824556	0
36	CTT1	CTT1	0.2	1	0	1619	NeuertLab	Variable	TRUE	0.781182075363355	0.154874263225137	0.943915861274881	0	0.938348545950405	0.948993660369942	0.890563579565904	0
37	CTT1	CTT1	0.2	1	0	1619	Big-FISH	Fixed	FALSE	0.539250122543293	0.0954213307237009	0.899091213773299	0	0.889327610019152	0.908035391924922	0.883617498587162	0
