IMAGENAME	EXP	REP	TIME	I_NUM	CH	THVAL_HB	THSPOTS_HB	THVAL_BF	THSPOTS_BF
sctc_E2R1_10m_I2_STL1	2	1	10	2	1	114	16172	639	833
sctc_E2R1_10m_I2_CTT1	2	1	10	2	2	151	17015	71	39045
sctc_E2R1_10m_I3_STL1	2	1	10	3	1	111	22607	593	711
sctc_E2R1_10m_I3_CTT1	2	1	10	3	2	167	23329	587	854
sctc_E2R1_10m_I4_STL1	2	1	10	4	1	106	17176	187	12292
sctc_E2R1_10m_I4_CTT1	2	1	10	4	2	152	18120	464	1003
sctc_E2R1_15m_I1_STL1	2	1	15	1	1	87	26421	280	11525
sctc_E2R1_15m_I1_CTT1	2	1	15	1	2	129	26359	63	39831
sctc_E2R1_15m_I2_STL1	2	1	15	2	1	107	40685	906	1502
sctc_E2R1_15m_I2_CTT1	2	1	15	2	2	160	40906	781	1264
sctc_E2R1_15m_I3_STL1	2	1	15	3	1	104	35625	395	13358
sctc_E2R1_15m_I3_CTT1	2	1	15	3	2	167	35781	726	1748
sctc_E2R1_15m_I4_STL1	2	1	15	4	1	84	27008	220	14586
sctc_E2R1_15m_I4_CTT1	2	1	15	4	2	126	27445	49	40729
sctc_E2R1_15m_I5_STL1	2	1	15	5	1	99	32056	322	11346
sctc_E2R1_15m_I5_CTT1	2	1	15	5	2	145	31929	818	1446
sctc_E2R1_15m_I6_STL1	2	1	15	6	1	101	10691	315	5616
sctc_E2R1_15m_I6_CTT1	2	1	15	6	2	130	11522	498	1670
sctc_E2R1_15m_I7_STL1	2	1	15	7	1	105	20155	317	8956
sctc_E2R1_15m_I7_CTT1	2	1	15	7	2	138	20138	592	1534
sctc_E2R1_15m_I8_STL1	2	1	15	8	1	108	9500	295	5710
sctc_E2R1_15m_I8_CTT1	2	1	15	8	2	145	10343	296	3941
sctc_E2R1_15m_I9_STL1	2	1	15	9	1	88	33108	589	3732
sctc_E2R1_15m_I9_CTT1	2	1	15	9	2	119	35570	715	1731
sctc_E2R1_1m_I1_STL1	2	1	1	1	1	88	250	183	288
sctc_E2R1_1m_I1_CTT1	2	1	1	1	2	133	260	97	56110
sctc_E2R1_1m_I2_STL1	2	1	1	2	1	72	177	153	215
sctc_E2R1_1m_I2_CTT1	2	1	1	2	2	111	261	98	37644
sctc_E2R1_1m_I3_STL1	2	1	1	3	1	75	428	177	495
sctc_E2R1_1m_I3_CTT1	2	1	1	3	2	138	326	87	73911
sctc_E2R1_1m_I4_STL1	2	1	1	4	1	82	544	186	638
sctc_E2R1_1m_I4_CTT1	2	1	1	4	2	141	266	104	62279
sctc_E2R1_1m_I5_STL1	2	1	1	5	1	76	484	175	513
sctc_E2R1_1m_I5_CTT1	2	1	1	5	2	133	281	102	54043
sctc_E2R1_1m_I6_STL1	2	1	1	6	1	73	189	162	215
sctc_E2R1_1m_I6_CTT1	2	1	1	6	2	118	221	96	44300
sctc_E2R1_20m_I1_STL1	2	1	20	1	1	125	28115	292	10377
sctc_E2R1_20m_I1_CTT1	2	1	20	1	2	173	27341	824	1248
sctc_E2R1_20m_I2_STL1	2	1	20	2	1	113	44794	973	1302
sctc_E2R1_20m_I2_CTT1	2	1	20	2	2	165	42444	70	50298
sctc_E2R1_20m_I3_STL1	2	1	20	3	1	98	35832	887	1398
sctc_E2R1_20m_I3_CTT1	2	1	20	3	2	158	35270	864	1011
sctc_E2R1_20m_I4_STL1	2	1	20	4	1	131	29909	354	10473
sctc_E2R1_20m_I4_CTT1	2	1	20	4	2	173	27528	691	1888
sctc_E2R1_20m_I5_STL1	2	1	20	5	1	76	32309	179	29092
sctc_E2R1_20m_I5_CTT1	2	1	20	5	2	168	31456	756	1560
sctc_E2R1_25m_I1_STL1	2	1	25	1	1	118	40861	82	30518
sctc_E2R1_25m_I1_CTT1	2	1	25	1	2	161	31514	826	927
sctc_E2R1_25m_I2_STL1	2	1	25	2	1	106	43006	125	32091
sctc_E2R1_25m_I2_CTT1	2	1	25	2	2	158	29627	798	2999
sctc_E2R1_25m_I3_STL1	2	1	25	3	1	106	41682	168	28704
sctc_E2R1_25m_I3_CTT1	2	1	25	3	2	158	29226	279	11513
sctc_E2R1_25m_I4_STL1	2	1	25	4	1	92	35674	235	21888
sctc_E2R1_25m_I4_CTT1	2	1	25	4	2	164	28232	224	15024
sctc_E2R1_2m_I1_STL1	2	1	2	1	1	71	117	174	139
sctc_E2R1_2m_I1_CTT1	2	1	2	1	2	121	114	95	41450
sctc_E2R1_2m_I2_STL1	2	1	2	2	1	72	142	190	153
sctc_E2R1_2m_I2_CTT1	2	1	2	2	2	136	90	95	39613
sctc_E2R1_2m_I3_STL1	2	1	2	3	1	79	411	160	502
sctc_E2R1_2m_I3_CTT1	2	1	2	3	2	142	154	72	41728
sctc_E2R1_2m_I4_STL1	2	1	2	4	1	79	182	158	256
sctc_E2R1_2m_I4_CTT1	2	1	2	4	2	118	101	104	48174
sctc_E2R1_30m_I1_STL1	2	1	30	1	1	110	11192	294	7644
sctc_E2R1_30m_I1_CTT1	2	1	30	1	2	112	3747	100	29787
sctc_E2R1_30m_I2_STL1	2	1	30	2	1	134	14731	336	10285
sctc_E2R1_30m_I2_CTT1	2	1	30	2	2	116	5272	140	31111
sctc_E2R1_30m_I3_STL1	2	1	30	3	1	105	9939	330	7290
sctc_E2R1_30m_I3_CTT1	2	1	30	3	2	118	3097	141	31106
sctc_E2R1_30m_I4_STL1	2	1	30	4	1	104	9821	335	6705
sctc_E2R1_30m_I4_CTT1	2	1	30	4	2	114	3526	224	2736
sctc_E2R1_35m_I1_STL1	2	1	35	1	1	112	7581	231	4915
sctc_E2R1_35m_I1_CTT1	2	1	35	1	2	127	717	128	29737
sctc_E2R1_35m_I2_STL1	2	1	35	2	1	114	13651	250	8346
sctc_E2R1_35m_I2_CTT1	2	1	35	2	2	127	1556	140	32343
sctc_E2R1_35m_I3_STL1	2	1	35	3	1	113	12364	216	7792
sctc_E2R1_35m_I3_CTT1	2	1	35	3	2	134	1432	48	35259
sctc_E2R1_35m_I4_STL1	2	1	35	4	1	109	17752	181	14063
sctc_E2R1_35m_I4_CTT1	2	1	35	4	2	147	1691	118	31290
sctc_E2R1_40m_I1_STL1	2	1	40	1	1	108	5965	192	4124
sctc_E2R1_40m_I1_CTT1	2	1	40	1	2	124	209	123	31985
