GROUP	N	SPEARMAN_EST	SPEARMAN_P	PEARSON_EST	PEARSON_CI95_LO	PEARSON_CI95_HI	PEARSON_P	LR_SLOPE	LR_YINTR	PERC_25_HB	PERC_50_HB	PERC_75_HB	MEAN_HB	STD_HB	WHISK_LO_HB	WHISK_HI_HB	PERC_25_BF	PERC_50_BF	PERC_75_BF	MEAN_BF	STD_BF	WHISK_LO_BF	WHISK_HI_BF	PERC_25_DB	PERC_50_DB	PERC_75_DB	MEAN_DB	STD_DB	WHISK_LO_DB	WHISK_HI_DB
57	sctc_E1R2C1_10min	813	0.958659445942629	0	0.937303820161521	0.928377138833022	0.945149574621864	0	1.62015497133157	1.51700661648818	4	21	39	25.0959409594096	22.3148241115523	-48.5	91.5	3	12	22	14.5535055350554	12.9097341032754	-25.5	50.5	4	15	28	18.2583025830258	16.1797841257727	-32	64
58	sctc_E1R2C2_10min	813	0.406232134087941	1.18726599697063e-33	0.462925682488023	0.407126911686719	0.515281923464389	2.02497133249314e-44	0.57297184158502	0.814409972279433	1	10	30	18.7675276752768	22.7989462295004	-42.5	73.5	20	30	42	31.3333333333333	18.420133377066	-13	75	0	8	24	14.169741697417	16.6730578091302	-36	60
59	sctc_E1R2C1_15min	641	0.969414442305041	0	0.963090075102446	0.957026722913739	0.968311765808336	0	1.30436652006742	0.00407098049755233	8	20	35	23.5803432137286	19.515062785116	-32.5	75.5	7	15	26	18.0748829953198	14.4091120050942	-21.5	54.5	6	16	27	18.0920436817473	14.8232065432243	-25.5	58.5
60	sctc_E1R2C2_15min	641	0.979167097762336	0	0.974313861312111	0.970066174238415	0.977965532259844	0	1.47909489147735	-0.722939854190231	2	15	30	19.7628705148206	20.3416120734633	-40	72	2	11	21	13.8502340093604	13.3994882402801	-26.5	49.5	1	12	22	14.5210608424337	14.6139897486229	-30.5	53.5
61	sctc_E1R2C1_1min	962	0.849220317391295	1.74023367298688e-268	0.879564189307516	0.86441416062693	0.893118435952752	5.97636245331419e-312	0.786550850598302	-0.0101279831860315	0	0	0	0.297297297297297	0.825562572968608	0	0	0	0	1	0.390852390852391	0.923189231393531	-1.5	2.5	0	0	1	0.662162162162162	1.1662986548222	-1.5	2.5
62	sctc_E1R2C2_1min	962	0.183706670126871	9.50272075594343e-09	0.129950292124151	0.0672968800774674	0.191582861414755	5.28917984206566e-05	0.00229360357562111	0.12965017996914	0	0	0	0.250519750519751	1.06628628000695	0	0	1	19.5	98.75	52.6985446985447	60.4133229681387	-145.625	245.375	0	0	0	0.109147609147609	0.563860911034092	0	0
63	sctc_E1R2C1_20min	1393	0.974695542597135	0	0.968770691456491	0.965368348870156	0.97184356390483	0	1.32610111368902	-0.94432566201746	10	24	41	27.5606604450826	22.5145087989956	-36.5	87.5	9	19	31	21.4953338119167	16.447762566408	-24	64	8	18	30	20.3833452979182	15.7053804568751	-25	63
64	sctc_E1R2C2_20min	1393	0.551844857933963	7.78228244010097e-112	0.453590437276593	0.410856505596102	0.494335608240257	1.24383172768452e-71	0.277806265922478	4.13774056395498	1	4	12	8.52979181622398	10.9501552775831	-15.5	28.5	2	9	24	15.8097631012204	17.8789549764566	-31	57	0	4	10	6.80689160086145	8.61321883378187	-15	25
65	sctc_E1R2C1_25min	223	0.978581625036678	1.0904191231034e-153	0.97803978365543	0.971491621218088	0.983096777496321	1.67349169271276e-152	1.05228572532295	-0.390780436745095	2	9	26	15.5964125560538	18.1127197765246	-34	62	2	9	23	15.1928251121076	16.8347437443445	-29.5	54.5	2	9	23	14.9417040358744	16.573918802461	-29.5	54.5
66	sctc_E1R2C2_25min	223	0.201378969965843	0.00251656461268035	0.110587776804683	-0.0210956838390531	0.238499658026245	0.0995163296456653	0.0193360502103505	3.6457410096028	1	2	6	4.65919282511211	6.93213520097762	-6.5	13.5	27	46	73.5	52.4125560538117	39.6466399314188	-42.75	143.25	0	1	2	2.04035874439462	4.02952882771987	-3	5
67	sctc_E1R2C1_2min	1112	0.845245719148399	2.31104840475245e-304	0.890906162359028	0.878108979878412	0.902429584832094	0	1.04812101544987	-0.111954673438833	0	0	0	0.367805755395683	1.5074275887194	0	0	0	0	1	0.45773381294964	1.28131819542203	-1.5	2.5	0	0	1	0.649280575539568	1.42411386203618	-1.5	2.5
68	sctc_E1R2C2_2min	1112	0.193776549989246	7.20176489872038e-11	0.0815729078456531	0.0228957059253301	0.139690031192118	0.00649545901619117	0.00310715231849546	0.132958688790552	0	0	0	0.367805755395683	1.56772334201113	0	0	45	65	97	75.5827338129496	41.1578637275424	-33	175	0	0	0	0.116007194244604	0.848589167445421	0	0
69	sctc_E1R2C1_30min	181	0.971810888039294	2.88343220221461e-114	0.973782395456923	0.96498505131456	0.980391503917402	4.7827011960228e-117	1.16051770131745	-0.887109348419204	1	6	17	12.0773480662983	15.8876117230221	-23	41	2	6	17	11.171270718232	13.3311853702626	-20.5	39.5	2	7	17	11.3149171270718	13.6265773243477	-20.5	39.5
70	sctc_E1R2C2_30min	181	0.190828631928597	0.0100750984886104	0.0685441577308461	-0.0780943609045232	0.212279605446485	0.359217409864183	0.0044881074202985	1.41997567056897	0	1	2	1.75690607734807	2.55092996920656	-3	5	48	65	91	75.0718232044199	38.9588148846062	-16.5	155.5	0	1	2	1.30939226519337	1.77744203398087	-3	5
71	sctc_E1R2C1_35min	663	0.983355768025417	0	0.971373381355002	0.966733084264385	0.975374522400119	0	1.10569082473948	-0.610551349358527	1	4	11	8.03318250377074	11.2989632698843	-14	26	1	4	10.5	7.81749622926093	9.92638440303561	-13.25	24.75	1	4	10	7.43137254901961	9.59281480314315	-12.5	23.5
72	sctc_E1R2C2_35min	663	0.0764570968512245	0.0490860269222738	0.0486499771729773	-0.0275960725360427	0.12433322072994	0.21091444173187	0.000660286340317639	0.236257519568598	0	0	0	0.273001508295626	0.568012817127116	0	0	32	53	77	55.6485671191554	41.8512528578121	-35.5	144.5	0	0	0	0.158371040723982	0.440356626835064	0	0
