IMAGENAME	ACTUAL_SPOTS	ACTUAL_SPOTS_TRIMMED	HBTr_THRESH	HBTr_COUNT_VAR	HBTr_COUNT_FIXED	BFTr_THRESH	BFTr_COUNT_VAR	BFTr_COUNT_FIXED
simvarmass_TMRL_853a3a38	2166	2048	155	1818	1873	99	14386	5356
simvarmass_TMRL_87569aa8	974	918	105	881	858	557	918	2031
simvarmass_TMRL_879db323	1975	1870	133	1727	1723	61	15056	2312
simvarmass_TMRL_87e73254	404	380	118	1020	520	215	16359	13530
simvarmass_TMRL_898211e5	1355	1295	104	1238	1235	317	1228	1208
simvarmass_TMRL_8c95d1ab	1346	1286	1	1423	1167	304	1198	1174
simvarmass_TMRL_8d74bdc9	1382	1315	142	1245	1246	454	1289	1494
simvarmass_TMRL_8e20de30	2319	2202	96	2047	2043	60	17179	1988
simvarmass_TMRL_8ea5cf01	2540	2430	149	2151	2168	447	2249	2454
simvarmass_TMRL_8f54885b	2421	2293	124	2128	2124	353	2136	2074
simvarmass_TMRL_91852647	1923	1820	113	1686	1662	484	1681	1977
simvarmass_TMRL_92519093	1509	1412	81	1363	1359	317	1362	1324
simvarmass_TMRL_92f018f0	993	938	95	895	879	279	904	879
simvarmass_TMRL_94722e72	643	616	89	596	596	358	602	592
simvarmass_TMRL_97fa77e2	21	21	94	364	20	257	16431	13257
simvarmass_TMRL_9a4dbf7c	1548	1480	122	1414	1382	88	15218	4462
simvarmass_TMRL_9ab65de4	1179	1111	140	1048	1049	653	1110	3874
simvarmass_TMRL_9b2e6352	1947	1844	166	1766	1779	543	1762	3097
simvarmass_TMRL_9b8222e8	1198	1127	174	1065	1183	749	1173	6713
simvarmass_TMRL_9be462c3	702	673	113	648	644	758	708	6503
simvarmass_TMRL_9d78b00c	467	446	85	444	442	453	451	503
simvarmass_TMRL_9db466e8	1207	1128	106	1089	1077	393	1100	1091
simvarmass_TMRL_9e2ebb0b	1854	1756	136	1675	1674	448	1710	1898
simvarmass_TMRL_a25afbb5	2341	2211	132	2048	2046	382	2032	2001
simvarmass_TMRL_a2e1fcdd	776	737	100	723	720	605	733	2553
simvarmass_TMRL_a566aba4	444	416	101	386	385	514	432	1087
simvarmass_TMRL_a62aa723	1150	1086	138	1030	1030	74	17369	1244
simvarmass_TMRL_a66b9c69	536	511	186	495	505	156	20793	6039
simvarmass_TMRL_a72b8843	1286	1228	83	1165	1146	365	1161	1140
simvarmass_TMRL_a72f8a37	618	595	122	629	600	232	19039	15100
simvarmass_TMRL_a8db5834	256	246	130	219	217	706	238	3949
simvarmass_TMRL_aa416f85	2037	1949	150	1769	1800	898	1849	8302
simvarmass_TMRL_aa62ca2c	1866	1752	111	1647	1624	351	1639	1604
simvarmass_TMRL_ac8b146d	2019	1898	86	1772	1705	477	1754	1992
simvarmass_TMRL_ad3cc05c	1445	1375	174	1297	1328	596	1315	3393
simvarmass_TMRL_ae6ab853	1826	1744	163	1640	1673	159	16726	10018
simvarmass_TMRL_af462d76	420	401	127	353	349	481	371	605
simvarmass_TMRL_afc93458	1511	1428	174	1364	1457	281	19905	17410
simvarmass_TMRL_afda365f	2256	2135	249	1970	2011	240	1982	1951
simvarmass_TMRL_b07da363	1552	1491	142	1421	1422	714	1476	5963
simvarmass_TMRL_b1062cd2	1120	1082	90	1031	1025	310	1030	1014
simvarmass_TMRL_b1617b06	1273	1210	115	1150	1142	460	1152	1278
simvarmass_TMRL_b2a1181c	2027	1921	154	1800	1820	529	1846	3151
simvarmass_TMRL_b53fd232	377	360	173	341	430	499	370	780
simvarmass_TMRL_b58de1b6	1696	1616	140	1491	1500	377	1545	1524
simvarmass_TMRL_b689c4d9	1831	1721	84	1651	1640	328	1616	1602
simvarmass_TMRL_b8c4544d	293	276	123	272	265	483	267	503
simvarmass_TMRL_ba74c496	448	428	123	401	397	560	408	1355
simvarmass_TMRL_bb5e8dac	891	855	162	852	1019	181	16771	11959
simvarmass_TMRL_bbb2fa80	405	380	117	369	369	434	377	413
simvarmass_TMRL_bc410f7e	1615	1525	171	1452	1501	202	17974	13207
simvarmass_TMRL_bdd06456	2057	1944	139	1758	1760	578	1810	3370
simvarmass_TMRL_be862ff3	363	341	96	1382	337	535	341	870
simvarmass_TMRL_beac175f	1991	1880	130	1701	1694	82	14290	5063
simvarmass_TMRL_beb8d9ce	280	265	74	256	252	403	269	269
simvarmass_TMRL_bebc9568	613	586	173	577	680	814	604	7753
simvarmass_TMRL_bf32f465	622	599	146	577	583	733	610	6292
simvarmass_TMRL_bfe94955	1318	1259	128	1207	1203	509	1239	1795
simvarmass_TMRL_c0010e10	1701	1612	129	1533	1532	105	15851	7711
simvarmass_TMRL_c0213033	2467	2320	83	2145	2126	470	2124	2345
simvarmass_TMRL_c02b436f	1345	1277	87	1210	1199	287	1201	1184
simvarmass_TMRL_c0f004c4	1704	1605	136	1510	1510	414	1543	1574
simvarmass_TMRL_c1621bcc	554	530	116	506	504	513	526	1050
simvarmass_TMRL_c1dbffdc	1138	1072	91	1027	1024	233	1024	1001
simvarmass_TMRL_c25f7281	1591	1497	111	1439	1437	100	17672	3172
simvarmass_TMRL_c286e651	276	268	75	262	259	313	267	257
simvarmass_TMRL_c37876a5	762	716	126	662	654	411	684	694
simvarmass_TMRL_c403b364	301	273	136	256	256	500	269	470
simvarmass_TMRL_c4241d45	1396	1327	97	1279	1274	209	1264	1251
simvarmass_TMRL_c465b212	2531	2422	165	2123	2243	83	14198	4529
simvarmass_TMRL_c724cf94	2075	1946	153	1794	1832	83	14482	3775
simvarmass_TMRL_c773909b	887	831	106	827	824	530	861	1763
simvarmass_TMRL_c8168f67	1552	1449	134	1369	1365	482	1410	1736
simvarmass_TMRL_c845118f	476	460	125	424	424	348	428	420
simvarmass_TMRL_c97de8d3	376	363	161	374	669	656	346	4414
simvarmass_TMRL_cc84932a	2255	2138	139	1976	1976	462	1998	2220
simvarmass_TMRL_ce31054b	289	264	98	254	254	663	260	3222
simvarmass_TMRL_ce40b073	1139	1069	135	1025	1024	730	1046	5815
simvarmass_TMRL_cff585d1	1053	997	127	950	947	456	969	1108
simvarmass_TMRL_d12eec9e	549	508	63	504	497	234	493	490
simvarmass_TMRL_d2c8fb9a	475	454	73	453	450	396	457	457
simvarmass_TMRL_d2d73305	1255	1174	159	1069	1086	589	1151	2744
simvarmass_TMRL_d311a735	135	127	131	283	214	145	19106	7035
simvarmass_TMRL_d3939da3	2504	2380	114	2240	2231	617	2226	4697
simvarmass_TMRL_d497b2ec	1870	1760	160	1637	1664	156	17040	9784
simvarmass_TMRL_d4d47896	1003	957	153	937	937	223	20698	14364
simvarmass_TMRL_d5a7c403	1168	1097	116	1075	1075	347	1065	1049
simvarmass_TMRL_d7bbd0e2	2032	1910	108	1810	1804	366	1802	1771
simvarmass_TMRL_d8b2080a	409	385	136	370	370	112	17705	6812
simvarmass_TMRL_d8f4a6ae	1958	1846	115	1730	1721	55	17300	1681
simvarmass_TMRL_d9f4557f	1315	1231	122	1145	1130	376	1180	1155
simvarmass_TMRL_db34801c	2242	2125	270	1748	1954	455	1962	2075
simvarmass_TMRL_db5f4d7e	1287	1224	165	1151	1201	128	18193	5053
simvarmass_TMRL_dc02391f	2259	2123	141	1955	1959	701	2083	6050
simvarmass_TMRL_dcd948ad	1031	986	96	940	922	432	953	1001
simvarmass_TMRL_dd7166d2	2456	2346	1053	477	2192	40	17162	2143
simvarmass_TMRL_de87cb98	1859	1764	137	1602	1602	451	1671	1891
simvarmass_TMRL_e2d70a40	623	589	108	570	570	287	577	563
simvarmass_TMRL_e587ecca	1166	1105	173	1054	1098	616	1109	4371
simvarmass_TMRL_e6bb8457	1159	1088	71	1060	1040	428	1041	1060
simvarmass_TMRL_e79f6619	1716	1630	144	1511	1519	148	15823	9527
simvarmass_TMRL_ea7ac772	41	39	54	13	8	279	9	7
simvarmass_TMRL_eaeb7500	2381	2245	133	1983	1976	316	2002	1927
simvarmass_TMRL_ebd071e5	2555	2415	155	2220	2233	96	14683	6124
simvarmass_TMRL_ec03aa6c	454	431	150	463	547	1123	462	12201
simvarmass_TMRL_ed5a8d2f	1062	1013	140	962	967	697	1012	5012
simvarmass_TMRL_eddd606c	93	92	76	82	82	272	94	82
simvarmass_TMRL_f023a4b4	101	95	106	90	86	620	108	1531
simvarmass_TMRL_f0f3a4a2	1362	1278	1	1362	1207	362	1197	1193
simvarmass_TMRL_f24946d7	1217	1150	156	1097	1108	614	1135	3248
simvarmass_TMRL_f4a57b9f	460	439	138	411	411	494	432	832
simvarmass_TMRL_f5c16209	1638	1535	111	1467	1460	439	1448	1530
simvarmass_TMRL_f7e45d35	1213	1145	96	1111	1105	52	17030	1288
simvarmass_TMRL_f8a97aae	1588	1491	93	1432	1427	310	1411	1400
simvarmass_TMRL_f9a98ebb	140	136	133	137	136	1203	165	20252
simvarmass_TMRL_f9aea244	2358	2232	141	2060	2067	120	14670	8552
simvarmass_TMRL_fa2aaf75	2270	2149	152	1991	2039	149	15374	9095
simvarmass_TMRL_faf6135e	2066	1948	147	1819	1824	695	1844	6214
simvarmass_TMRL_fbfb73de	1239	1160	152	1095	1100	519	1105	1882
simvarmass_TMRL_fc1513a8	1861	1765	123	1670	1649	689	1694	4798
simvarmass_TMRL_fc5b60a0	227	211	166	200	284	728	233	4535
simvarmass_TMRL_fc9ef2d1	1668	1586	143	1487	1487	388	1521	1488
simvarmass_TMRL_fdb9a44a	1252	1188	158	1115	1138	567	1135	2576
simvarmass_TMRL_fe259400	1383	1295	84	1246	1219	447	1220	1282
simvarmass_TMRL_feb3ab2e	1258	1177	151	1150	1160	203	19452	11201
simvarmass_TMRL_ff787d2e	2275	2158	137	2020	2020	536	2077	3471
simvarmass_TMRL_ffeace8a	1248	1173	123	1104	1093	449	1115	1204
