IMGNAME	SIM_OR_EXP	TOTAL_VOXELS	MIN_TH_VAL	MIN_TH_SPOTS	TOTAL_VOX_LOG	MINTH_SPOTS_LOG	PROP
sctc_E1R1_1m_I2_CTT1	Exp	132519200	5	1805293	8.122279	6.256548	0.013623
sctc_E1R1_1m_I3_STL1	Exp	132519200	1	1638555	8.122279	6.214461	0.012365
sctc_E1R1_1m_I3_CTT1	Exp	132519200	5	1483189	8.122279	6.171196	0.011192
sctc_E1R1_1m_I4_STL1	Exp	132519200	1	2193320	8.122279	6.341102	0.016551
sctc_E1R1_1m_I4_CTT1	Exp	132519200	5	1762444	8.122279	6.246115	0.013300
sctc_E1R1_20m_I1_STL1	Exp	103530625	1	705346	8.015069	5.848402	0.006813
sctc_E1R1_20m_I1_CTT1	Exp	103530625	5	944895	8.015069	5.975384	0.009127
sctc_E1R1_20m_I2_STL1	Exp	103530625	1	928374	8.015069	5.967723	0.008967
sctc_E1R1_20m_I2_CTT1	Exp	103530625	5	1035482	8.015069	6.015143	0.010002
sctc_E1R1_20m_I3_STL1	Exp	103530625	1	856890	8.015069	5.932925	0.008277
sctc_E1R1_20m_I3_CTT1	Exp	103530625	5	1065561	8.015069	6.027578	0.010292
sctc_E1R1_20m_I4_STL1	Exp	103530625	1	727218	8.015069	5.861665	0.007024
sctc_E1R1_20m_I4_CTT1	Exp	103530625	5	961688	8.015069	5.983034	0.009289
sctc_E1R1_25m_I1_STL1	Exp	103530625	1	1118496	8.015069	6.048634	0.010804
sctc_E1R1_25m_I1_CTT1	Exp	103530625	5	1339714	8.015069	6.127012	0.012940
sctc_E1R1_25m_I2_STL1	Exp	103530625	1	1212344	8.015069	6.083626	0.011710
sctc_E1R1_25m_I2_CTT1	Exp	103530625	5	1377107	8.015069	6.138968	0.013301
sctc_E1R1_25m_I3_STL1	Exp	103530625	1	1313797	8.015069	6.118528	0.012690
sctc_E1R1_25m_I3_CTT1	Exp	103530625	5	1398465	8.015069	6.145652	0.013508
sctc_E1R1_25m_I4_STL1	Exp	103530625	1	1291144	8.015069	6.110975	0.012471
sctc_E1R1_25m_I4_CTT1	Exp	103530625	5	1376070	8.015069	6.138641	0.013291
sctc_E1R1_2m_I1_STL1	Exp	103530625	1	1889356	8.015069	6.276314	0.018249
sctc_E1R1_2m_I1_CTT1	Exp	103530625	5	1448310	8.015069	6.160862	0.013989
sctc_E1R1_2m_I2_STL1	Exp	103530625	1	1884323	8.015069	6.275155	0.018201
sctc_E1R1_2m_I2_CTT1	Exp	103530625	5	1442983	8.015069	6.159261	0.013938
sctc_E1R1_2m_I3_STL1	Exp	103530625	1	1899233	8.015069	6.278578	0.018345
sctc_E1R1_2m_I3_CTT1	Exp	103530625	5	1469402	8.015069	6.167141	0.014193
sctc_E1R1_2m_I4_STL1	Exp	103530625	1	1635262	8.015069	6.213587	0.015795
sctc_E1R1_2m_I4_CTT1	Exp	103530625	5	1369904	8.015069	6.136690	0.013232
sctc_E1R1_30m_I1_STL1	Exp	103530625	1	730627	8.015069	5.863696	0.007057
sctc_E1R1_30m_I1_CTT1	Exp	103530625	5	1139527	8.015069	6.056725	0.011007
sctc_E1R1_30m_I2_STL1	Exp	103530625	1	734434	8.015069	5.865953	0.007094
sctc_E1R1_30m_I2_CTT1	Exp	103530625	5	1112030	8.015069	6.046117	0.010741
sctc_E1R1_30m_I3_STL1	Exp	103530625	1	743400	8.015069	5.871223	0.007180
sctc_E1R1_30m_I3_CTT1	Exp	103530625	5	1101933	8.015069	6.042155	0.010644
sctc_E1R1_30m_I4_STL1	Exp	103530625	1	623163	8.015069	5.794602	0.006019
sctc_E1R1_30m_I4_CTT1	Exp	103530625	5	1029466	8.015069	6.012612	0.009944
sctc_E1R1_35m_I1_STL1	Exp	103530625	1	1604723	8.015069	6.205400	0.015500
sctc_E1R1_35m_I1_CTT1	Exp	103530625	5	1453393	8.015069	6.162383	0.014038
