IMAGENAME	ACTUAL_SPOTS	ACTUAL_SPOTS_TRIMMED	HBTr_THRESH	HBTr_COUNT_VAR	HBTr_COUNT_FIXED	BFTr_THRESH	BFTr_COUNT_VAR	BFTr_COUNT_FIXED
simvarmass_CY5L_481edd78	2236	2111	201	1370	1442	178	1916	1906
simvarmass_CY5L_4824bda2	1733	1649	403	715	1516	193	1555	1562
simvarmass_CY5L_4952c9ea	332	318	28	312	244	212	311	322
simvarmass_CY5L_4af3b5c2	1010	968	34	954	900	249	939	1219
simvarmass_CY5L_4b06e1a1	714	674	32	651	464	252	641	1014
simvarmass_CY5L_4b8f9368	213	207	31	192	181	259	192	659
simvarmass_CY5L_4ba4183d	2241	2112	431	465	1442	110	1895	1892
simvarmass_CY5L_4e1231de	168	151	21	139	111	129	135	135
simvarmass_CY5L_500608c2	2515	2381	53	2189	1511	104	2124	2118
simvarmass_CY5L_5090057d	1938	1843	111	1611	1285	142	1678	1674
simvarmass_CY5L_525c29df	1447	1371	174	1102	1065	175	1306	1301
simvarmass_CY5L_539f9527	403	387	26	379	301	155	377	375
simvarmass_CY5L_53d5d0cc	2003	1899	337	521	1229	175	1749	1736
simvarmass_CY5L_5587e50e	1397	1330	78	1228	873	210	1238	1283
simvarmass_CY5L_56136743	137	131	32	129	91	270	133	619
simvarmass_CY5L_56916148	1618	1533	279	860	1245	143	1446	1439
simvarmass_CY5L_56d1e161	736	693	33	677	504	198	662	682
simvarmass_CY5L_57c005f7	189	180	24	183	165	317	182	2161
simvarmass_CY5L_592532aa	2181	2056	247	988	1288	87	1852	1844
simvarmass_CY5L_595bdded	802	747	42	731	600	127	706	706
simvarmass_CY5L_5a0cca46	299	286	33	284	242	280	282	1107
simvarmass_CY5L_5ae7e106	889	838	35	811	659	230	803	1030
simvarmass_CY5L_5ca999d3	2098	1992	494	319	1408	194	1834	1844
simvarmass_CY5L_5cdea545	1144	1084	43	1047	824	178	1024	1020
simvarmass_CY5L_5d7bbad5	1716	1624	590	155	1207	100	1501	1492
simvarmass_CY5L_5df9ec3e	1856	1757	334	613	1245	285	1626	3119
simvarmass_CY5L_5f692ce6	777	742	37	720	533	216	716	776
simvarmass_CY5L_6133f4b1	944	888	472	136	697	150	847	844
simvarmass_CY5L_626c8c6a	1667	1572	389	600	1215	144	1461	1450
simvarmass_CY5L_629fcaa9	154	137	29	120	93	195	126	132
simvarmass_CY5L_63a09921	1749	1665	505	220	1426	138	1555	1544
simvarmass_CY5L_6421c005	849	813	165	588	541	100	758	755
simvarmass_CY5L_6464c463	1122	1069	31	1025	736	272	1016	1724
simvarmass_CY5L_65b58cd3	7	7	17	2	2	255	9	566
simvarmass_CY5L_66024d2b	1841	1744	349	784	1501	205	1632	1686
simvarmass_CY5L_69b6847f	1740	1643	257	855	1179	194	1517	1527
simvarmass_CY5L_6b04b8c7	1281	1209	198	996	1029	158	1130	1125
simvarmass_CY5L_6c359100	859	812	456	157	576	141	776	773
simvarmass_CY5L_6ce031d4	236	224	35	202	133	211	199	227
simvarmass_CY5L_6dab5181	1821	1728	398	480	1186	104	1585	1577
simvarmass_CY5L_707ed63b	1472	1391	357	438	950	105	1313	1299
simvarmass_CY5L_71057227	89	84	30	63	52	158	62	62
simvarmass_CY5L_750c4c5e	1580	1495	377	598	1140	208	1411	1461
simvarmass_CY5L_75f255b1	1073	1018	506	125	675	135	967	960
simvarmass_CY5L_76f02db6	2279	2163	397	558	1494	150	1959	1955
simvarmass_CY5L_77874ae6	653	621	226	428	476	108	574	573
simvarmass_CY5L_78e70971	673	644	41	628	475	241	628	819
simvarmass_CY5L_7b75f26c	111	105	38	91	63	362	92	2782
simvarmass_CY5L_7b9b6f0f	1677	1580	351	501	1147	125	1437	1427
simvarmass_CY5L_7c070caf	1055	995	384	393	827	120	939	936
simvarmass_CY5L_7d1a3c5b	1691	1600	350	514	1156	29	15275	4789
simvarmass_CY5L_80c68fc4	1541	1459	363	415	949	180	1329	1328
simvarmass_CY5L_80ee7cfe	1791	1693	308	826	1260	184	1565	1564
simvarmass_CY5L_82f91e7d	6	6	21	2	2	247	12	507
simvarmass_CY5L_83a9584a	1735	1640	333	588	1210	153	1524	1520
